Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped, Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,is_valid,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label,Binary Label
Port#:3,176897,105231772,45205825,303381,1040,0,0,0,0,0,-13860,5093,1,5,0,0,0,0,2,559473,6524142,-1563,6653,576660,True,0,6,971203,974823,-1,Normal,Normal
Port#:2,3181,64391249,4663043,5700,2133,0,0,0,0,0,-5921,-5145,2,5,0,0,0,0,5,-1442,12828,-1404,-5983,469,True,0,12,19172,11624,-1,Diversion,Attack
Port#:1,3713,58515820,7217598,3235,1053,0,0,0,0,125,2400,-8456,4,5,0,0,0,0,2,251,10586,-1565,5184,1070,True,0,5,5201,17319,-1,Diversion,Attack
Port#:4,191395,22560516,45682846,305699,1630,0,0,0,0,5,-9099,3417,3,5,0,0,0,0,4,268205,6308486,-415,6038730,-1101,True,0,8,1003288,1037503,-1,Normal,Normal
Port#:3,312505,78929379,20606311,299346,1037,0,0,0,0,66,-4548,3777602,3,5,0,0,0,0,4,563606,3661,-379,10307,428230,True,0,6,955617,998695,-1,Normal,Normal
Port#:2,317,42077522,28753493,5571,2941,0,0,0,0,4,-7482,-8415,4,5,0,0,0,0,3,-273,14886,-639,7000,-267,True,0,5,12642,24892,-1,Diversion,Attack
Port#:2,340425,95006521,76381363,238005,820,0,0,0,0,0,-17179,6783,4,5,0,0,0,0,2,-147,13497,-1036,16139,-391,True,0,5,655141,22700,-1,Diversion,Normal
Port#:1,4551,90142346,108060814,4181,3022,0,0,0,0,1,-5273,-6796,2,5,0,0,0,0,2,-191,7490,-515,11314,1042,True,0,4,14843,12075,-1,Diversion,Attack
Port#:2,4108,50881748,28559674,6803,1053,0,0,0,0,131,-1422,-1915,2,5,0,0,0,0,3,-900,1610,-556,3897,-187,True,0,7,15914,22376,-1,Diversion,Attack
Port#:3,5949,23047787,33875001,2822,2204,0,0,0,0,4,-3329,5231246,3,5,0,0,0,0,4,-793,4819,-1801,3078,-232,True,0,5,8064,26685,-1,Diversion,Attack
Port#:1,3658,76109079,24442256,4118,1265,0,0,0,0,1,-5288,9516,3,5,0,0,0,0,2,-471,8048,-943,2699,-700,True,0,5,14852,22664,-1,Diversion,Attack
Port#:1,187532,70226204,174643188,306301,1551,0,0,0,0,4,-4700,-94,4,5,0,0,0,0,2,-722,-6461,-115,-4072,196,True,0,6,532903,664816,-1,Normal,Normal
Port#:2,181091,41985997,33380810,2670,1513,0,0,0,0,0,1825,7455,2,4,0,0,0,0,3,-856,18389,-1234,12817,205,True,0,5,497057,963764,-1,Normal,Normal
Port#:2,1448,37030832,20443334,5901,2808,0,0,0,0,0,5454968,-4752,4,5,0,0,0,0,5,-947,6691,-1059,2084,405,True,0,209,12725,14982,-1,Diversion,Attack
Port#:1,1790,110179178,25465327,252761,2163,0,0,0,0,0,-13554,709,4,5,0,0,0,0,2,-1361,20786,-651,11298,39,True,0,7,652482,661973,-1,Normal,Normal
Port#:2,119303,104234036,32129025,292874,2590,0,0,0,0,3,-10470,3891,68,5,0,0,0,0,4,-1390,17391,-174,-3326,825,True,0,6,980025,23274,-1,Normal,Normal
Port#:1,3349,91374962,79410393,4737,2842,0,0,0,0,0,-661,4585,4,5,0,0,0,0,2,-197,4404,-889,-9718,901,True,0,5,15933,16803,-1,Diversion,Attack
Port#:4,3437,1582696,27116500,5873,268,0,0,0,0,3,-13232,-3505,4,5,0,0,0,0,5,-209,12489,-959,-11970,1024,True,0,7,8367,28373,-1,Diversion,Attack
Port#:1,2139,116952902,59605868,3578,2558,0,0,0,0,1,-20306,3712,2,5,0,0,0,0,3,-328,-5640,-1041,-416,-6,True,0,5,6356,20289,-1,Diversion,Attack
Port#:2,2752,13733062,17192257,4214,1106,0,0,0,0,5,-6038,1869,4,4,0,0,0,0,3,-356,16924,20,-6802,284,True,0,4,6451,17535,-1,Diversion,Attack
Port#:2,326998,51728963,36287137,157640,1624,0,0,0,0,0,2930450,11156,4,5,0,0,0,0,1,228,9554,-1256,10994,918,True,0,6,970973,669113,-1,Normal,Normal
Port#:3,2423,42962255,53027199,594,150,0,0,0,0,4,-3382,-9735,2,5,0,0,0,0,5,586,6587,-542,-6675,936,True,0,5,9470,13937,-1,Diversion,Attack
Port#:3,3229,24530939,2732313,3757,1942,0,0,0,0,4,261,-3851,4,5,0,0,0,0,4,240,11077,-673,12935,864,True,0,4,-634,23010,-1,Diversion,Attack
Port#:4,3120,49468712,28726317,3300,3005,0,0,0,0,0,-1871,4188,3,5,0,0,0,0,5,247,14429,-828,-6208,960,True,0,4,15139,32179,-1,Diversion,Attack
Port#:1,3767,46343365,70784675,6194,2619,0,0,0,0,0,1806,-307,2,5,0,0,0,0,2,-763,9736,-309,-2031,4,True,0,13,26945,24035,-1,Diversion,Attack
Port#:2,3129,48010072,17961294,3497,1664,0,0,0,0,67,-5944,-2994,2,5,0,0,0,0,2,-455,8342,-474,-13161,1061,True,0,5,5703,19362,-1,Diversion,Attack
Port#:1,5969,113655968,101021179,249031,2779,0,0,0,0,1,-12298,10840,1,5,0,0,0,0,1,-277,8068,-927,143,726,True,0,5,495285,662226,-1,Normal,Normal
Port#:1,3387,61284031,76320447,250019,1606,0,0,0,0,-1,-4182,-62,71,5,0,0,0,0,1,3,-4286,128,1713,-755,True,0,7,667983,672999,-1,Normal,Normal
Port#:4,3117,8790326,52607403,7084,965,0,0,0,0,3,3729,-108,4,5,0,0,0,0,4,-546,3984,-880,456,123,True,0,206,21259,22443,-1,Diversion,Attack
Port#:3,179859,20848718,139637466,303476,1601,0,0,0,0,130,-3255,1095,4,5,0,0,0,0,3,-142,3493,580574,3897,-21,True,0,7,991908,992480,-1,Normal,Normal
Port#:2,1746,73099987,20953877,3160,1346,0,0,0,0,5,-2315,6407,1,5,0,0,0,0,3,736,-165,-1058,-19020,1044,True,0,6,16852,17283,-1,Diversion,Attack
Port#:4,2796,823643,13971295,1056,3092,0,0,0,0,1,5225,-6935,1,5,0,0,0,0,5,-1136,-2380,-112,4869,607,True,0,5,4003,9483,-1,Diversion,Attack
Port#:2,185889,51829347,161940095,156771,1003,0,0,0,0,63,-2382,-1246,4,5,0,0,0,0,3,-547,26935,-721,-9067,580,True,0,8,663127,1004544,-1,Normal,Normal
Port#:4,322121,17128163,76529994,301773,965,0,0,0,0,3,-10868,2348,4,5,0,0,0,0,4,-798,14352,-669,8362,335,True,0,6,7062,20165,-1,Diversion,Normal
Port#:3,5739,20642464,38595168,4077,1063,0,0,0,0,3,-7241,510,1,5,0,0,0,0,4,-185,13248,-717,8871,1747,True,0,3,16400,31072,-1,Diversion,Attack
Port#:2,5749,24875101,79174650,5865,1584,0,0,0,0,2,5787761,3397,4,5,0,0,0,0,3,137,-19612,-1518,6835,1461,True,0,6,14538,18442,-1,Diversion,Attack
Port#:2,3698,7785564,68368292,5747,3136,0,0,0,0,3,-246,-1913,4,5,0,0,0,0,5,-672,24065,204,15560,1055,True,0,209,16858,18860,-1,Diversion,Attack
Port#:1,3742,1123460,13861386,4531,917,0,0,0,0,1,12410,156,4,5,0,0,0,0,5,248,17296,-219,-319,402,True,0,5,18978,15145,-1,Diversion,Attack
Port#:4,1190,14706882,26165893,2920,1737,0,0,0,0,4,-8188,-7587,57,5,0,0,0,0,5,-598,26611,-150,-2339,1303,True,0,5,3475,23527,-1,Diversion,Attack
Port#:2,5812,19095438,35383232,3259,1541,0,0,0,0,41,-12378,-1177,2,5,0,0,0,0,5,-866,-1747,208,1913,926,True,0,7,17555,19072,-1,Diversion,Attack
Port#:4,3000,21078586,47309638,4641,3209,0,0,0,0,131,5711304,3084,4,4,0,0,0,0,5,-944,5596,-435,-13824,31,True,0,6,12473,22584,-1,Diversion,Attack
Port#:2,4129,43878835,58197888,418079,1508,0,0,0,0,1,7020,-3670,4,5,0,0,0,0,2,-215,5016,-1341,-9647,1093,True,0,5,652177,664394,-1,Normal,Attack
Port#:4,1493,44339585,15214712,3919,265,0,0,0,0,3,-2794,-1545,3,5,0,0,0,0,4,-72,-5807,-44,3539,113,True,0,6,9883,18373,-1,Diversion,Attack
Port#:4,334691,16381812,2036578,2592,1073,0,0,0,0,4,5057,-402,4,5,0,0,0,0,4,-602,-7599,-514,-21990,-317,True,0,7,991881,965996,-1,Normal,Attack
Port#:1,-376,61629624,73209793,6223,297,0,0,0,0,1,580,-3953,2,5,0,0,0,0,2,-635,17796,-988,4962,1119,True,0,3,-271,18209,-1,Diversion,Attack
Port#:3,4323,26544080,46821520,4244,3047,0,0,0,0,4,-1172,-5160,3,5,0,0,0,0,2,-372,5374,-785,3860,-176,True,0,7,17451,19252,-1,Diversion,Attack
Port#:3,176361,134344336,30886896,304641,2064,0,0,0,0,4,-5628,321,4,4,0,0,0,0,4,-622,12025,-1251,6779,-494,True,0,8,660176,1003953,-1,Normal,Normal
Port#:2,2337,97213410,50799623,5284,366,0,0,0,0,3,4957,-8060,4,5,0,0,0,0,5,-670,19928,-1259,-3972,902,True,0,7,12309,18916,-1,Diversion,Attack
Port#:1,6650,87361003,78729324,10001,3098,0,0,0,0,0,-6509,-1728,2,5,0,0,0,0,3,-917,20895,-836,1086,948,True,0,6,25268,33947,-1,Diversion,Attack
Port#:2,4566,202879179,25055921,411699,2158,0,0,0,0,0,-5711,2756,4,5,0,0,0,0,2,-281,16114,112,15455,569,True,0,6,495224,669783,-1,Normal,Normal
Port#:1,3493,98105356,73032230,2591,2997,0,0,0,0,66,-2261,5671,2,5,0,0,0,0,3,-566,9976,-336,3985,785,True,0,5,11618,19137,-1,Diversion,Attack
Port#:1,2105,117147610,95243373,420123,2608,0,0,0,0,0,-10898,1920,3,4,0,0,0,0,2,-548,-3526,-134,9150,262,True,0,4,641044,648071,-1,Normal,Normal
Port#:3,309160,126998558,73261524,297902,2694,0,0,0,0,112,1358,3234960,2,5,0,0,0,0,2,-738,3012,-1502,6363872,737,True,0,8,661392,673258,-1,Normal,Normal
Port#:1,2327,106640596,50757699,3905,1017,0,0,0,0,122,5433,9127,4,5,0,0,0,0,4,215,13904,-284,6047,-556,True,0,5,15276,15992,-1,Diversion,Attack
Port#:3,2573,21849564,13337366,3340,2578,0,0,0,0,3,-6430,-3111,1,5,0,0,0,0,4,-318,19724,-1310,16011,879,True,0,7,12052,15080,-1,Diversion,Attack
Port#:4,325050,13184165,64395714,5635,1902,0,0,0,0,2,-1644,-10033,2,5,0,0,0,0,5,144,10240,-168,25581,1096,True,0,7,11002,10841,-1,Diversion,Attack
Port#:2,5299,94949080,65318012,250122,2556,0,0,0,0,0,-4895,-4706,4,5,0,0,0,0,1,-980,19451,-1102,4229,-391,True,0,5,651334,652288,-1,Normal,Normal
Port#:3,180857,23977646,70657797,308975,2638,0,0,0,0,74,-7001,-7078,2,5,0,0,0,0,1,-1604,-13242,-407,6225498,366,True,0,6,991099,971763,-1,Normal,Normal
Port#:1,3335,64985989,67499218,252081,1626,0,0,0,0,-1,5134257,-5128,2,5,0,0,0,0,1,-386,-17502,-1435,7841,1148,True,0,4,665108,661894,-1,Normal,Normal
Port#:1,2627,90511003,56422901,7399,3015,0,0,0,0,-1,1102,664,2,5,0,0,0,0,2,-271,9257,32,11538,590,True,0,6,23086,31854,-1,Diversion,Attack
Port#:3,561,17727681,23511487,3227,1688,0,0,0,0,4,4623,-2203,1,5,0,0,0,0,4,-737,3159,-97,-3173,588,True,0,5,287,12168,-1,Diversion,Attack
Port#:3,4299,27741011,25870349,4733,1166,0,0,0,0,3,-3837,-11098,3,5,0,0,0,0,4,-860,23762,-885,-2007,1177,True,0,5,17024,26009,-1,Diversion,Attack
Port#:1,5511,114322046,34226459,7602,1795,0,0,0,0,0,-7372,-2666,4,5,0,0,0,0,2,-313,-12484,-643,-9684,109,True,0,6,21795,13817,-1,Diversion,Attack
Port#:1,3920,126106747,66359577,409894,2618,0,0,0,0,1,-9255,560,2,5,0,0,0,0,2,-592,-8606,-985,-697,1138,True,0,3,650035,646224,-1,Normal,Normal
Port#:4,316582,24554685,24832408,300504,1679,0,0,0,0,5,354,-8495,1,5,0,0,0,0,4,591156,6335543,568725,6107430,650049,True,0,7,985101,988262,-1,Normal,Normal
Port#:2,5065,62648705,99328573,435555,2742,0,0,0,0,0,3029561,-11197,1,5,0,0,0,0,2,-903,7267,-39,-4582,-70,True,0,5,27391,22427,-1,Diversion,Normal
Port#:2,3033,157218742,35010814,3174,1585,0,0,0,0,138,4958544,-7509,4,5,0,0,0,0,1,9,10641,-78,-14141,247,True,0,5,15928,19371,-1,Diversion,Attack
Port#:3,330051,22795535,15180698,285869,1108,0,0,0,0,3,-2016,-5272,4,5,0,0,0,0,4,-788,-3002,-1089,-19185,-287,True,0,5,16347,1043732,-1,Diversion,Attack
Port#:1,2071,102044834,35497215,3057,2636,0,0,0,0,0,2770,2285,2,5,0,0,0,0,3,-902,12353,-1048,-7818,1458,True,0,98,12979,14814,-1,Diversion,Attack
Port#:1,3108,76887241,21858182,7878,41,0,0,0,0,0,5693,359,2,5,0,0,0,0,2,-283,5729,-845,11799,1367,True,0,6,18611,21233,-1,Diversion,Attack
Port#:1,4762,41055231,110409934,6080,1455,0,0,0,0,0,-1957,-2296,72,5,0,0,0,0,2,-1210,-11070,-1774,-16754,516,True,0,6,29380,24804,-1,Diversion,Attack
Port#:4,6456,117386082,116353202,8770,1734,0,0,0,0,-1,-1623,-1846,4,5,0,0,0,0,5,-207,11718,-998,-19102,-46,True,0,8,24170,24406,-1,Diversion,Attack
Port#:2,119593,43873154,146200434,285561,957,0,0,0,0,61,3043622,-8516,2,4,0,0,0,0,3,555347,3814113,-473,6301482,582,True,0,7,932890,962671,-1,Normal,Normal
Port#:2,2701,45054708,24148040,9070,3122,0,0,0,0,50,1821,9169,2,5,0,0,0,0,2,-733,-737,-1097,10148,1689,True,0,7,14646,23847,-1,Diversion,Attack
Port#:4,292629,18304683,1298360,296554,877,0,0,0,0,4,-2316,8384,2,5,0,0,0,0,4,-120,10977,-468,6413663,-36,True,0,6,958367,975197,-1,Normal,Normal
Port#:1,2081,22505800,60269777,220394,842,0,0,0,0,0,-6305,-1805,2,5,0,0,0,0,2,-376,-12552,-401,6668,745,True,0,5,528745,19014,-1,Normal,Attack
Port#:2,190714,191619279,89705025,419494,1699,0,0,0,0,3,6059,3407,2,5,0,0,0,0,2,-120,-5726,-1092,-1830,656,True,0,6,15483,671652,-1,Normal,Normal
Port#:2,3916,77028780,109094981,123506,2056,0,0,0,0,0,-3209,-9726,66,5,0,0,0,0,2,-1270,4193,-1082,-21906,-6,True,0,4,662412,663732,-1,Diversion,Normal
Port#:4,2346,16054756,59718114,5532,1529,0,0,0,0,3,6945,2973,3,5,0,0,0,0,5,-416,-5385,-278,10968,115,True,0,7,18104,17948,-1,Diversion,Attack
Port#:1,4275,68208438,81809376,5128,1777,0,0,0,0,0,2923,-3975,2,5,0,0,0,0,2,-163,20788,-945,7091,2170,True,0,4,10230,12230,-1,Diversion,Attack
Port#:2,7168,81738440,75865141,251548,2193,0,0,0,0,0,-11830,828,4,5,0,0,0,0,1,-821,-6142,95,338,780,True,0,6,646207,659313,-1,Normal,Normal
Port#:2,5229,6044364,20503987,2527,347,0,0,0,0,4,-5678,-4101,4,5,0,0,0,0,5,-499,4905,-871,-8373,655,True,0,6,14621,15835,-1,Diversion,Attack
Port#:2,2716,21043541,29854114,1763,1718,0,0,0,0,3,-2690,-10811,4,5,0,0,0,0,5,-289,-5556,-1345,-7845,-66,True,0,6,15072,19447,-1,Diversion,Attack
Port#:2,179712,134176827,151602828,306690,1563,0,0,0,0,54,495,2522896,4,5,0,0,0,0,3,-228,6340601,-356,6332919,-558,True,0,7,985383,658290,-1,Normal,Normal
Port#:3,178512,55842186,103693109,4249,1771,0,0,0,0,3,5907,-6311,4,5,0,0,0,0,5,-620,-3339,-31,10922,44,True,0,4,525134,998756,-1,Normal,Normal
Port#:4,1942,23190972,46876805,2317,3087,0,0,0,0,3,-2847,3690,2,5,0,0,0,0,5,-353,5279,-104,-1173,317,True,0,5,17805,7685,-1,Diversion,Attack
Port#:4,2774,17642292,18416836,3028,1761,0,0,0,0,3,-11022,6847,1,5,0,0,0,0,5,-541,-2282,-431,-4,906,True,0,196,9298,16225,-1,Diversion,Attack
Port#:1,4918,4922364,27684690,3004,1057,0,0,0,0,126,-87,-2340,2,5,0,0,0,0,2,-21,12390,-876,-4624,56,True,0,7,15809,21862,-1,Diversion,Attack
Port#:2,5535,18138906,56805224,7405,991,0,0,0,0,0,3539,-7320,3,5,0,0,0,0,2,-783,10376,-222,-10245,1899,True,0,6,18688,25945,-1,Diversion,Attack
Port#:1,1659,55159262,5594727,3710,1746,0,0,0,0,0,2403,-9155,3,5,0,0,0,0,2,-372,20096,-1129,-7904,402,True,0,4,14750,18812,-1,Diversion,Attack
Port#:1,4774,102257723,5311685,5192,1522,0,0,0,0,0,-8713,-1321,4,5,0,0,0,0,3,172,15164,-229,-12294,996,True,0,6,14923,21783,-1,Diversion,Attack
Port#:4,315809,-1836008,70143768,1098,1101,0,0,0,0,3,-9463,-11692,1,5,0,0,0,0,5,42,5048,-1600,-12796,-293,True,0,8,12599,15740,-1,Diversion,Attack
Port#:1,3124,57767115,69454787,7887,939,0,0,0,0,0,-3205,659,2,5,0,0,0,0,5,569,21378,-521,15262,947,True,0,207,17608,23364,-1,Diversion,Attack
Port#:2,328758,21017438,63628517,2854,2590,0,0,0,0,3,-1265,35,2,5,0,0,0,0,4,-881,-1864,74,-5246,666,True,0,6,9849,18042,-1,Normal,Attack
Port#:1,2759,78809223,76779143,5685,2978,0,0,0,0,0,8782,-8619,4,5,0,0,0,0,2,-1404,-2479,363,-8141,819,True,0,5,20730,31129,-1,Diversion,Attack
Port#:3,6208,60425873,26865435,3314,1139,0,0,0,0,3,-12196,-7191,4,5,0,0,0,0,2,-193,9842,-1286,6068628,525,True,0,6,962242,987129,-1,Normal,Attack
Port#:1,306111,76016679,12001079,296034,1539,0,0,0,0,130,-3418,-6586,4,5,0,0,0,0,3,-35,8155,-605,5589,1272,True,0,4,2346,972637,-1,Normal,Attack
Port#:1,2587,112637039,91832975,244588,2066,0,0,0,0,1,-133,5007,3,5,0,0,0,0,2,865,-3595,-82,21033,1557,True,0,6,639192,13513,-1,Normal,Normal
Port#:1,183254,79724684,78160704,306282,1437,0,0,0,0,0,3436941,5527955,4,4,0,0,0,0,2,-896,8905,-163,-9150,474,True,0,6,655000,666200,-1,Normal,Normal
Port#:2,2806,77166350,19969420,2069,1616,0,0,0,0,0,-853,1873,2,5,0,0,0,0,5,1180,15188,686,7397,466,True,0,197,8182,8980,-1,Diversion,Attack
Port#:1,3936,65144646,27083556,1540,1704,0,0,0,0,0,15873,-612,2,5,0,0,0,0,2,-2,19475,-1807,1974,81,True,0,7,15336,13150,-1,Diversion,Attack
Port#:4,348565,18996406,85472884,222102,2571,0,0,0,0,4,5981,5897,3,4,0,0,0,0,4,-339,16752,-1175,406,2148,True,0,6,9045,1030669,-1,Normal,Normal
Port#:1,128,81737987,72915744,3182,3071,0,0,0,0,0,-7019,5223,1,5,0,0,0,0,2,155,22873,-289,7622,-91,True,0,6,9520,15172,-1,Diversion,Attack
Port#:1,5050,5558696,61761086,4159,2957,0,0,0,0,0,9615,9964,3,5,0,0,0,0,3,25,22972,690,14983,541,True,0,6,13558,31478,-1,Diversion,Attack
Port#:1,5158,42095332,72748393,1355,1110,0,0,0,0,4,-6820,-11431,2,5,0,0,0,0,2,-41,6022,178,692,649,True,0,6,10567,19297,-1,Diversion,Attack
Port#:4,3622,23479348,20844684,4212,405,0,0,0,0,3,1420,-1789,4,5,0,0,0,0,4,-899,13052,-634,-1095,716,True,0,6,5217,17278,-1,Diversion,Attack
Port#:4,4320,20270526,12806021,6965,1101,0,0,0,0,3,-136,401,5,5,0,0,0,0,5,-194,11147,-604,504,633,True,0,7,17945,19828,-1,Diversion,Attack
Port#:3,2498,20737862,25310336,1720,1541,0,0,0,0,3,-1372,5483,4,5,0,0,0,0,4,-1052,17848,30,11589,281,True,0,6,7357,3754,-1,Diversion,Attack
Port#:4,3476,16685163,11083819,1051,156,0,0,0,0,5,44,7975,4,5,0,0,0,0,5,167,11992,-709,-304,1163,True,0,201,3569,15272,-1,Diversion,Attack
Port#:1,6137,114202252,85288238,6188,1930,0,0,0,0,4,-13566,-2239,1,5,0,0,0,0,3,-1025,16443,-1210,2026,467,True,0,7,29379,30824,-1,Diversion,Attack
Port#:2,5519,179099492,28407507,6121,2593,0,0,0,0,-1,-7430,8391,2,5,0,0,0,0,2,-951,829,-308,363,315,True,0,6,10938,22051,-1,Diversion,Attack
Port#:3,185988,117344972,74522777,150969,1049,0,0,0,0,89,-1353,6550,3,5,0,0,0,0,2,222,-1115,-789,6780,827,True,0,4,497640,662028,-1,Normal,Normal
Port#:2,274,22216544,58074102,2880,2537,0,0,0,0,54,2875,690,3,5,0,0,0,0,5,-337,3631,-982,-5813,-891,True,0,7,22234,13593,-1,Diversion,Attack
Port#:2,3757,6275339,43169715,4930,1088,0,0,0,0,-1,-1480,2350,4,5,0,0,0,0,2,-468,13800,551009,-6419,642,True,0,6,15986,533859,-1,Normal,Normal
Port#:1,4123,79528905,51981994,5439,1557,0,0,0,0,-1,170,-2339,3,5,0,0,0,0,2,-1178,15908,-542,11149,276,True,0,6,21565,26301,-1,Diversion,Attack
Port#:2,3284,77779063,75108118,5678,2529,0,0,0,0,-1,1742,2495,2,5,0,0,0,0,3,-203,13525,-1234,-9747,62,True,0,7,17733,22657,-1,Diversion,Attack
Port#:1,4142,120247337,114200932,120046,1550,0,0,0,0,125,-13267,5510,2,5,0,0,0,0,2,-1038,4561,-723,2236,-159,True,0,7,658883,660613,-1,Normal,Normal
Port#:1,3510,53806296,73575860,402,2537,0,0,0,0,3,3443,-3687,135,5,0,0,0,0,3,-374,6565,-1203,-1000,1124,True,0,8,8794,17326,-1,Diversion,Attack
Port#:4,347156,19155336,24661306,299608,1382,0,0,0,0,3,7249,5451274,2,5,0,0,0,0,4,-1775,6333851,-1903,-8721,-1313,True,0,7,993131,1023847,-1,Normal,Normal
Port#:2,185324,55003859,30334939,157441,2684,0,0,0,0,131,-1310,-822,4,5,0,0,0,0,3,-173,405,-803,-5182,642,True,0,7,644631,513682,-1,Normal,Normal
Port#:3,179490,50244722,33785478,312378,1673,0,0,0,0,2,-4860,2598211,3,4,0,0,0,0,3,324,15746,-605,6332663,-13,True,0,6,978512,1006017,-1,Normal,Normal
Port#:3,3133,42134206,21988,4840,1096,0,0,0,0,65,5402152,-1833,4,5,0,0,0,0,3,-529,4320,-521,2981,-504,True,0,7,20633,21770,-1,Diversion,Attack
Port#:4,365162,30666202,31754486,207219,2491,0,0,0,0,4,-4086,-14091,2,5,0,0,0,0,4,215932,6335305,-1689,6152956,161,True,0,7,970110,1032840,-1,Normal,Normal
Port#:4,1163,21139424,18359611,1062,2925,0,0,0,0,2,-6541,-6065,3,5,0,0,0,0,5,574,-1277,-906,2161,617,True,0,4,3147,4944,-1,Diversion,Attack
Port#:2,313186,165135362,66795801,310292,1177,0,0,0,0,4,2467,2585032,2,4,0,0,0,0,4,-783,1018,618463,17664,83,True,0,6,999750,993786,-1,Normal,Normal
Port#:3,7544,54558385,74571754,5785,2728,0,0,0,0,1,-1347,-6070,2,5,0,0,0,0,2,-430,-4003,-861,4642,1106,True,0,5,25322,29501,-1,Diversion,Attack
Port#:1,1103,37971436,60308529,3869,2455,0,0,0,0,0,5870232,-2346,4,5,0,0,0,0,2,-37,2975,510,-5702,825,True,0,4,9702,13527,-1,Diversion,Attack
Port#:3,1407,13344417,25004690,4809,344,0,0,0,0,3,-1136,-2535,3,5,0,0,0,0,3,-539,2690,-87,-9423,842,True,0,13,11344,12314,-1,Diversion,Attack
Port#:2,4598,40069910,61486058,2679,1723,0,0,0,0,0,491,-3756,4,5,0,0,0,0,2,-1184,22532,-1142,-11840,1251,True,0,6,11169,18704,-1,Diversion,Attack
Port#:4,3713,19561717,1573358,3110,3001,0,0,0,0,4,-872,2642,3,5,0,0,0,0,5,-297,10014,-935,-5784,1052,True,0,5,6607,9143,-1,Diversion,Attack
Port#:3,1279,246774469,43291242,5783,3157,0,0,0,0,1,-7166,-3536,3,5,0,0,0,0,4,-265,-13017,-272,14330,1139,True,0,8,26148,24321,-1,Diversion,Attack
Port#:4,1903,12832719,26887733,415,226,0,0,0,0,3,-2355,5446,3,5,0,0,0,0,5,85,26395,-38,-9074,853,True,0,208,3707,3832,-1,Diversion,Attack
Port#:1,1576,24021765,29254865,3237,1558,0,0,0,0,4,5693,-3601,124,5,0,0,0,0,5,-739,9099,-293,-3591,380,True,0,6,10387,19503,-1,Diversion,Attack
Port#:2,5416,16082337,132638796,5475,2129,0,0,0,0,3,5861,-1488,2,5,0,0,0,0,4,19,2715,-1273,-2195,520,True,0,6,10559,20117,-1,Diversion,Attack
